,제품명(한글),수입일자,제조국,수출국
7695,생알땅콩,2020-12-24,중국,중국
7696,냉동대파,2020-12-24,중국,중국
7697,신선 표고버섯,2020-12-24,중국,중국
7698,깐도라지,2020-12-24,중국,중국
7699,건목이버섯,2020-12-24,중국,중국
7700,강낭콩,2020-12-24,중국,중국
7701,블루베리 (125G),2020-12-24,칠레,칠레
7702,아몬드,2020-12-24,미국,미국
7703,신선깐도라지,2020-12-24,중국,중국
7704,깐도라지,2020-12-24,중국,중국
7705,산약/21KG,2020-12-24,중국,중국
7706,냉동곶감,2020-12-24,중국,중국
7707,흰강낭콩,2020-12-24,캐나다,캐나다
7708,포도,2020-12-24,페루,페루
7709,포도,2020-12-24,페루,페루
7710,바나나,2020-12-24,필리핀,필리핀
7711,피스타치오(13.61KGS),2020-12-24,미국,미국
7712,바나나,2020-12-24,필리핀,필리핀
7713,파인애플,2020-12-24,필리핀,필리핀
7714,"바나나(열매,신선)",2020-12-24,필리핀,필리핀
7715,바나나,2020-12-24,필리핀,필리핀
7716,파인애플,2020-12-24,필리핀,필리핀
7717,아니스씨드,2020-12-24,이집트,이집트
7718,케러웨이,2020-12-24,이집트,이집트
7719,망고,2020-12-24,태국,태국
7720,망고,2020-12-24,태국,태국
7721,망고,2020-12-24,태국,태국
7722,망고,2020-12-24,태국,태국
7723,망고,2020-12-24,태국,태국
7724,블루베리(125G),2020-12-24,칠레,칠레
7725,신선비트,2020-12-24,중국,중국
7726,냉동양파,2020-12-24,중국,중국
7727,냉동당근,2020-12-24,중국,중국
7728,깐도라지,2020-12-24,중국,중국
7729,야자열매,2020-12-24,베트남,베트남
7730,리크,2020-12-24,벨기에,벨기에
7731,셀러리악,2020-12-24,네덜란드,벨기에
7732,신선송로버섯,2020-12-24,스페인,스페인
7733,샬롯,2020-12-24,네덜란드,네덜란드
7734,송로버섯,2020-12-24,이탈리아,이탈리아
7735,아스파라거스,2020-12-24,태국,태국
7736,신선부추,2020-12-24,중국,중국
7737,그라비올라,2020-12-24,인도네시아,인도네시아
7738,신선당근,2020-12-24,중국,중국
7739,신선당근,2020-12-24,중국,중국
7740,커피생두,2020-12-24,콜롬비아,콜롬비아
7741,신선당근,2020-12-24,중국,중국
7742,커피원두,2020-12-24,브라질,브라질
7743,망고,2020-12-24,태국,태국
7744,신선대파,2020-12-24,중국,중국
7745,신선당근,2020-12-24,중국,중국
7746,신선양파,2020-12-24,중국,중국
7747,커피생두,2020-12-24,브라질,브라질
7748,커피생두,2020-12-24,브라질,브라질
7749,커피 생두,2020-12-24,콜롬비아,대만
7750,당근,2020-12-24,중국,중국
7751,깐도라지,2020-12-24,중국,중국
7752,깐도라지,2020-12-24,중국,중국
7753,양송이버섯,2020-12-24,중국,중국
7754,들깨,2020-12-24,중국,중국
7755,커피원두,2020-12-24,에티오피아,에티오피아
7756,옥수수(씨앗),2020-12-24,인도,인도
7757,옥수수(씨앗),2020-12-24,인도,인도
7758,냉동 대파 9KG,2020-12-24,중국,중국
7759,냉동 부추,2020-12-24,중국,중국
7760,신선우엉,2020-12-24,중국,중국
7761,들깨,2020-12-24,중국,중국
7762,판다누스잎,2020-12-24,베트남,베트남
7763,사탕수수,2020-12-24,베트남,베트남
7764,팥,2020-12-24,중국,중국
7765,건생강,2020-12-24,중국,중국
7766,페루커피원두,2020-12-24,페루,페루
7767,피스타치오,2020-12-24,미국,미국
7768,신선당근,2020-12-24,중국,중국
7769,신선배추,2020-12-24,중국,중국
7770,들깨,2020-12-24,중국,중국
7771,흰강낭콩,2020-12-24,미국,미국
7772,대두,2020-12-24,러시아,러시아
7773,아스파라거스,2020-12-24,페루,미국
7774,아스파라거스,2020-12-24,에콰도르,미국
7775,흑후추,2020-12-24,인도네시아,인도네시아
7776,파인애플(14.5KG),2020-12-24,필리핀,필리핀
7777,신선양배추,2020-12-24,중국,중국
7778,신선핑거루트,2020-12-24,태국,태국
7779,송로버섯,2020-12-24,이탈리아,이탈리아
7780,유기농 바나나,2020-12-24,페루,페루
7781,흰옥수수,2020-12-24,미국,미국
7782,호두,2020-12-24,미국,미국
7783,커피원두 (생두),2020-12-24,파나마,파나마
7784,기장,2020-12-24,우크라이나,우크라이나
7785,커피원두 (생두),2020-12-24,파나마,파나마
7786,아몬드,2020-12-24,미국,미국
7787,체리,2020-12-24,칠레,칠레
7788,냉동홍고추,2020-12-24,중국,중국
7789,냉동홍고추,2020-12-24,중국,중국
7790,망고,2020-12-24,페루,페루
7791,체리,2020-12-24,칠레,칠레
7792,체리,2020-12-24,칠레,칠레
7793,체리,2020-12-24,칠레,칠레
7794,핑거루트,2020-12-24,태국,태국
7795,체리,2020-12-24,칠레,칠레
7796,아스파라거스,2020-12-24,페루,페루
7797,타피오카 칩,2020-12-24,베트남,베트남
7798,커피원두,2020-12-24,콜롬비아,콜롬비아
7799,커피원두,2020-12-24,콜롬비아,콜롬비아
7800,망고,2020-12-24,페루,페루
7801,신선브로콜리,2020-12-24,중국,중국
7802,블루베리,2020-12-24,칠레,칠레
7803,블루베리,2020-12-24,칠레,칠레
7804,브로콜리,2020-12-24,중국,중국
7805,인도네시아 커피,2020-12-24,인도네시아,인도네시아
7806,커피생두,2020-12-24,에티오피아,에티오피아
7807,바나나,2020-12-24,인도네시아,인도네시아
7808,파인애플,2020-12-24,인도네시아,인도네시아
7809,맥아,2020-12-24,호주,호주
7810,아보카도,2020-12-24,멕시코,멕시코
7811,포도,2020-12-24,페루,페루
7812,냉동부추,2020-12-24,중국,중국
7813,신선당근,2020-12-24,중국,중국
7814,냉동 서양고추냉이,2020-12-24,중국,중국
7815,블루베리,2020-12-24,칠레,칠레
7816,블루베리,2020-12-24,칠레,칠레
7817,블루베리,2020-12-24,칠레,칠레
7818,신선우엉,2020-12-24,중국,중국
7819,망고,2020-12-24,태국,태국
7820,망고,2020-12-24,태국,태국
7821,블루베리,2020-12-24,칠레,칠레
7822,바닐라 빈,2020-12-24,마다가스카르,마다가스카르
7823,냉동부추,2020-12-24,중국,중국
7824,콩나물,2020-12-24,중국,중국
7825,쿨란트로,2020-12-24,베트남,베트남
7826,체리,2020-12-24,칠레,칠레
7827,냉동홍고추,2020-12-24,중국,중국
7828,냉동홍고추,2020-12-24,중국,중국
7829,냉동홍고추,2020-12-24,중국,중국
7830,냉동고추,2020-12-24,중국,중국
7831,도토리,2020-12-24,중국,중국
7832,도토리,2020-12-24,중국,중국
7833,건능이버섯,2020-12-24,중국,중국
7834,들깨,2020-12-24,중국,중국
7835,우슬,2020-12-24,중국,중국
7836,길경,2020-12-24,중국,중국
7837,냉동딸기 IQF,2020-12-24,칠레,칠레
7838,파인애플 (13.3KG),2020-12-24,필리핀,필리핀
7839,파인애플(13.6KG),2020-12-24,필리핀,필리핀
7840,콜롬비아  커피원두,2020-12-24,콜롬비아,콜롬비아
7841,맥아,2020-12-24,캐나다,캐나다
7842,바나나,2020-12-24,에콰도르,에콰도르
7843,커피원두,2020-12-24,탄자니아,탄자니아
7844,콜롬비아 아라비카 커피,2020-12-24,콜롬비아,콜롬비아
7845,냉동부추,2020-12-24,중국,중국
7846,냉동홍고추,2020-12-24,중국,중국
7847,렌즈콩,2020-12-24,캐나다,캐나다
7848,로케트,2020-12-24,이탈리아,네덜란드
7849,콩나물콩,2020-12-24,미국,미국
7850,커피원두,2020-12-24,에티오피아,에티오피아
7851,커피 생두,2020-12-24,에티오피아,에티오피아
7852,건무청,2020-12-24,중국,중국
7853,옥수수,2020-12-24,브라질,브라질
7854,팥,2020-12-24,중국,중국
7855,우슬,2020-12-24,중국,중국
7856,냉동홍고추,2020-12-24,중국,중국
7857,냉동부추,2020-12-24,중국,중국
7858,건여주,2020-12-24,중국,중국
7859,건무화과(10kg),2020-12-24,이란,이란
7860,건조생강,2020-12-24,중국,중국
7861,냉동홍고추,2020-12-24,중국,중국
7862,냉동홍고추,2020-12-24,중국,중국
7863,냉동홍고추,2020-12-24,중국,중국
7864,길경,2020-12-24,중국,중국
7865,체리,2020-12-24,호주,호주
7866,샬롯,2020-12-24,태국,태국
7867,레몬그래스,2020-12-24,태국,태국
7868,신선 갈랑갈,2020-12-24,태국,태국
7869,판다누스잎,2020-12-24,태국,태국
7870,죽순,2020-12-24,태국,태국
7871,코코넛,2020-12-24,태국,태국
7872,바나나 꽃,2020-12-24,태국,태국
7873,레몬그라스,2020-12-24,태국,태국
7874,샬롯,2020-12-24,태국,태국
7875,갈랑가,2020-12-24,태국,태국
7876,아스파라거스,2020-12-24,태국,태국
7877,방울다다기 양배추,2020-12-24,벨기에,벨기에
7878,망고,2020-12-24,페루,페루
7879,아스파라거스,2020-12-24,태국,태국
7880,방울다다기 양배추,2020-12-24,벨기에,벨기에
7881,브루셀스프라우트(방울다다기 양배추),2020-12-24,벨기에,벨기에
7882,수세미오이,2020-12-24,중국,중국
7883,신선당근,2020-12-24,중국,중국
7884,기장,2020-12-24,중국,중국
7885,라임 (18kg),2020-12-24,멕시코,멕시코
7886,건조생강,2020-12-24,중국,중국
7887,"바나나(열매,신선)",2020-12-24,에콰도르,에콰도르
7888,냉동대파,2020-12-24,중국,중국
7889,냉동양파,2020-12-24,중국,중국
7890,냉동 근대,2020-12-24,중국,중국
7891,냉동배추,2020-12-24,중국,중국
7892,냉동마늘,2020-12-24,중국,중국
7893,커피 생두,2020-12-24,브라질,브라질
7894,냉동블루베리,2020-12-24,미국,미국
7895,냉동 열무,2020-12-24,중국,중국
7896,냉동 무청시래기,2020-12-24,중국,중국
7897,냉동대파 50mm,2020-12-24,중국,중국
7898,냉동 무청시래기,2020-12-24,중국,중국
7899,냉동 패션후르츠 500g,2020-12-24,베트남,베트남
7900,잘게 썬 건조호박 (20KG),2020-12-24,중국,중국
7901,냉동당근,2020-12-24,중국,중국
7902,냉동단호박,2020-12-24,중국,중국
7903,냉동표고버섯,2020-12-24,중국,중국
7904,냉동 컬리플라워,2020-12-24,중국,중국
7905,캐슈넛,2020-12-24,베트남,베트남
7906,냉동양파,2020-12-24,중국,중국
7907,목이버섯,2020-12-24,중국,중국
7908,냉동단호박,2020-12-24,중국,중국
7909,냉동피망,2020-12-24,중국,중국
7910,냉동홍피망,2020-12-24,중국,중국
7911,냉동당근(8mm),2020-12-24,중국,중국
7912,냉동딸기,2020-12-24,중국,중국
7913,냉동대파,2020-12-24,중국,중국
7914,냉동 알마늘,2020-12-24,중국,중국
7915,건파8R,2020-12-24,중국,중국
7916,캐슈너트,2020-12-24,베트남,베트남
7917,냉동부추,2020-12-24,중국,중국
7918,캐슈넛,2020-12-24,베트남,베트남
7919,캐슈넛,2020-12-24,베트남,베트남
7920,냉동양파,2020-12-24,중국,중국
7921,냉동 근대,2020-12-24,중국,중국
7922,미니양파,2020-12-24,프랑스,프랑스
7923,냉동 당근,2020-12-24,중국,중국
7924,냉동 얼갈이,2020-12-24,중국,중국
7925,냉동 대파,2020-12-24,중국,중국
7926,아몬드,2020-12-24,미국,미국
7927,호두,2020-12-24,미국,미국
