접수번호,브랜드,수리내역,담당자
1,삼성,"조도센서,액정",옐로
2,삼성,지문센서,옐로
4,애플,"액정,지문센서",옐로
6,LG,"충전연결잭,버튼",레드
7,LG,지문센서,옐로
9,애플,마이크,블루
10,샤오미,지문센서,옐로
11,삼성,폰케이스구매,실버
12,샤오미,배터리,골드
13,삼성,액정,레드
14,LG,"버튼,배터리",그린
16,삼성,"버튼,액정",그린
18,구글,"안테나,마이크",골드
20,삼성,안테나,골드
21,LG,마이크,블루
22,애플,버튼,그린
23,애플,"충전연결잭,후면교체",레드
25,삼성,"지문센서,액정",옐로
27,샤오미,"마이크,조도센서",블루
29,LG,충전연결잭,레드
30,삼성,후면교체,실버
31,LG,"마이크,버튼",블루
33,LG,카메라,그린
34,애플,"폰케이스구매,배터리",실버
36,애플,"버튼,지문센서",옐로
38,애플,지문센서,옐로
41,애플,스피커,블루
42,샤오미,액정,레드
43,구글,배터리,골드
46,애플,"카메라,후면교체",그린
48,삼성,"폰케이스구매,액정",실버
49,삼성,배터리,골드
51,삼성,지문센서,옐로
52,애플,"버튼,후면교체",그린
54,애플,"스피커,배터리",블루
56,LG,스피커,블루
57,애플,"마이크,배터리",블루
59,LG,안테나,골드
60,LG,스피커,블루
61,삼성,"버튼,액정",그린
65,삼성,"지문센서,액정",옐로
67,애플,스피커,블루
68,애플,"충전연결잭,배터리",레드
70,LG,"카메라,지문센서",그린
72,삼성,"충전연결잭,액정",레드
74,LG,충전연결잭,레드
75,삼성,마이크,블루
76,삼성,지문센서,옐로
77,LG,마이크,블루
78,삼성,버튼,그린
79,애플,"후면교체,배터리",실버
81,삼성,"배터리,액정",골드
83,삼성,액정,레드
84,애플,"카메라,배터리",그린
86,삼성,스피커,블루
87,삼성,마이크,블루
88,애플,폰케이스구매,실버
89,삼성,"충전연결잭,후면교체",레드
91,삼성,"안테나,액정",골드
93,삼성,"배터리,카메라",그린
95,애플,"후면교체,배터리",실버
99,애플,마이크,블루
100,애플,"카메라,배터리",그린
102,삼성,카메라,그린
103,구글,"안테나,배터리",골드
105,삼성,액정,레드
106,삼성,버튼,그린
107,삼성,"폰케이스구매,액정",실버
108,삼성,지문센서,옐로
110,삼성,"폰케이스구매,액정",실버
111,삼성,카메라,그린
113,삼성,"폰케이스구매,액정",실버
115,애플,배터리,골드
116,삼성,폰케이스구매,실버
117,애플,"배터리,후면교체",실버
118,애플,지문센서,옐로
120,LG,"배터리,지문센서",옐로
122,애플,마이크,블루
123,LG,조도센서,옐로
124,삼성,"폰케이스구매,액정",실버
125,삼성,배터리,골드
127,애플,버튼,그린
128,애플,버튼,그린
129,애플,"버튼,배터리",그린
131,삼성,액정,레드
132,애플,"버튼,후면교체",그린
134,LG,스피커,블루
135,구글,배터리,골드
136,LG,"스피커,배터리",블루
138,애플,후면교체,실버
141,애플,액정,레드
142,애플,"조도센서,배터리",옐로
144,삼성,"안테나,액정",골드
146,애플,안테나,골드
147,삼성,액정,레드
148,삼성,"카메라,지문센서",그린
150,삼성,폰케이스구매,실버
151,삼성,마이크,블루
152,애플,"버튼,후면교체",그린
153,애플,배터리,골드
155,애플,폰케이스구매,실버
156,애플,"액정,후면교체",실버
158,애플,"카메라,후면교체",그린
160,애플,폰케이스구매,실버
161,애플,카메라,그린
162,LG,버튼,그린
163,구글,스피커,블루
164,삼성,"배터리,액정",골드
165,삼성,배터리,골드
167,삼성,폰케이스구매,실버
168,삼성,액정,레드
169,삼성,카메라,그린
170,삼성,충전연결잭,레드
171,샤오미,"충전연결잭,배터리",레드
173,애플,"버튼,지문센서",옐로
175,애플,"충전연결잭,후면교체",레드
177,샤오미,카메라,그린
178,삼성,카메라,그린
179,삼성,조도센서,옐로
180,구글,"스피커,마이크",블루
182,LG,"충전연결잭,지문센서",레드
184,삼성,지문센서,옐로
185,삼성,폰케이스구매,실버
186,샤오미,"마이크,배터리",블루
188,구글,버튼,그린
189,애플,"액정,후면교체",실버
191,샤오미,버튼,그린
192,삼성,안테나,골드
193,삼성,"안테나,액정",골드
195,삼성,"지문센서,액정",옐로
197,애플,액정,레드
198,삼성,마이크,블루
199,삼성,폰케이스구매,실버
200,애플,"안테나,후면교체",골드
202,애플,"폰케이스구매,후면교체",실버
206,애플,"마이크,후면교체",블루
208,삼성,충전연결잭,레드
209,삼성,마이크,블루
210,삼성,"카메라,배터리",그린
211,삼성,지문센서,옐로
213,애플,폰케이스구매,실버
214,애플,배터리,골드
215,삼성,배터리,골드
216,애플,"버튼,후면교체",그린
218,삼성,"후면교체,지문센서",옐로
220,LG,스피커,블루
221,구글,버튼,그린
222,샤오미,"스피커,조도센서",블루
224,삼성,"배터리,액정",골드
228,삼성,"카메라,액정",그린
230,삼성,스피커,블루
231,구글,"충전연결잭,배터리",레드
233,삼성,카메라,그린
234,삼성,폰케이스구매,실버
235,삼성,액정,레드
236,구글,"충전연결잭,마이크",레드
238,삼성,충전연결잭,레드
239,샤오미,"지문센서,조도센서",옐로
241,삼성,충전연결잭,레드
242,샤오미,"후면교체,조도센서",옐로
243,샤오미,배터리,골드
244,샤오미,지문센서,옐로
246,구글,액정,레드
247,애플,조도센서,옐로
248,LG,마이크,블루
249,삼성,"폰케이스구매,액정",실버
251,애플,후면교체,실버
254,LG,"액정,배터리",골드
256,샤오미,"충전연결잭,배터리",레드
258,삼성,마이크,블루
259,삼성,"안테나,지문센서",골드
261,LG,안테나,골드
263,애플,배터리,골드
265,애플,지문센서,옐로
268,애플,"충전연결잭,후면교체",레드
270,삼성,"조도센서,액정",옐로
271,삼성,배터리,골드
272,삼성,지문센서,옐로
274,LG,충전연결잭,레드
275,삼성,"안테나,액정",골드
277,삼성,"폰케이스구매,액정",실버
279,삼성,배터리,골드
280,애플,액정,레드
281,구글,카메라,그린
282,삼성,카메라,그린
283,삼성,"후면교체,액정",실버
284,삼성,지문센서,옐로
286,삼성,안테나,골드
287,애플,조도센서,옐로
288,구글,배터리,골드
289,LG,카메라,그린
290,삼성,"카메라,액정",그린
292,LG,지문센서,옐로
293,구글,후면교체,실버
294,애플,폰케이스구매,실버
295,애플,조도센서,옐로
296,애플,"버튼,후면교체",그린
298,삼성,"폰케이스구매,액정",실버
299,삼성,배터리,골드
301,애플,"액정,후면교체",실버
303,삼성,폰케이스구매,실버
304,삼성,폰케이스구매,실버
305,LG,조도센서,옐로
306,LG,지문센서,옐로
307,샤오미,"충전연결잭,배터리",레드
309,샤오미,"후면교체,조도센서",옐로
310,샤오미,배터리,골드
312,LG,"조도센서,버튼",옐로
313,LG,지문센서,옐로
315,삼성,"충전연결잭,액정",레드
319,애플,"마이크,후면교체",블루
320,애플,배터리,골드
322,삼성,폰케이스구매,실버
323,LG,"안테나,버튼",골드
325,애플,"스피커,후면교체",블루
326,애플,배터리,골드
328,LG,"액정,버튼",그린
329,LG,배터리,골드
331,샤오미,"버튼,배터리",그린
333,삼성,"지문센서,액정",옐로
335,삼성,"충전연결잭,액정",레드
337,삼성,스피커,블루
338,LG,조도센서,옐로
339,LG,"충전연결잭,버튼",레드
341,LG,"지문센서,배터리",옐로
343,삼성,충전연결잭,레드
344,샤오미,지문센서,옐로
345,샤오미,"액정,지문센서",옐로
347,삼성,안테나,골드
348,삼성,"액정,배터리",골드
350,애플,배터리,골드
351,샤오미,조도센서,옐로
352,삼성,배터리,골드
353,구글,카메라,그린
354,LG,안테나,골드
355,애플,카메라,그린
356,샤오미,배터리,골드
357,LG,카메라,그린
358,애플,지문센서,옐로
359,삼성,안테나,골드
362,샤오미,"마이크,배터리",블루
363,샤오미,지문센서,옐로
365,LG,"스피커,버튼",블루
366,LG,배터리,골드
368,삼성,"조도센서,액정",옐로
