제품명(한글),수입일자,제조국,수출국
샬롯,2021-02-05,태국,태국
"마늘종(꽃줄기,신선)",2021-02-05,중국,중국
우엉,2021-02-05,중국,중국
캐슈넛,2021-02-05,베트남,베트남
건생강,2021-02-05,중국,중국
유기농 냉동노니,2021-02-05,인도네시아,인도네시아
냉동홍고추,2021-02-05,중국,중국
망고,2021-02-05,태국,태국
냉동당근,2021-02-05,중국,중국
냉동그린빈,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
캐모마일,2021-02-05,이집트,이집트
페퍼민트,2021-02-05,이집트,이집트
오가피,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
신선브로콜리,2021-02-05,중국,중국
호박씨,2021-02-05,중국,중국
신선브로콜리,2021-02-05,중국,중국
신선우엉,2021-02-05,중국,중국
아라비카 커피생두,2021-02-05,브라질,브라질
커피원두,2021-02-05,에티오피아,지부티
커피원두,2021-02-05,베트남,베트남
양상추,2021-02-05,중국,중국
호박씨,2021-02-05,중국,중국
커피원두,2021-02-05,콜롬비아,캐나다
냉동부추,2021-02-05,중국,중국
호박씨,2021-02-05,중국,중국
백목이버섯,2021-02-05,중국,중국
꽃사슴살롯,2021-02-05,중국,중국
신선 표고버섯,2021-02-05,중국,중국
커피원두,2021-02-05,브라질,브라질
땅콩,2021-02-05,중국,중국
파인애플,2021-02-05,필리핀,필리핀
커피원두,2021-02-05,베트남,베트남
냉동고추,2021-02-05,중국,중국
커피원두,2021-02-05,브라질,브라질
커피원두,2021-02-05,브라질,브라질
커피원두,2021-02-05,브라질,브라질
망고,2021-02-05,베트남,베트남
신선깐양파,2021-02-05,중국,중국
양상추(7.5KG),2021-02-05,대만,대만
양상추(13KG),2021-02-05,대만,대만
마늘쫑,2021-02-05,중국,중국
건생강,2021-02-05,중국,중국
양상추,2021-02-05,대만,대만
망고,2021-02-05,페루,페루
냉동홍고추,2021-02-05,중국,중국
마른줄기상추,2021-02-05,중국,중국
초석잠,2021-02-05,중국,중국
삼채,2021-02-05,중국,중국
깐더덕,2021-02-05,중국,중국
깐우엉,2021-02-05,중국,중국
신선표고버섯,2021-02-05,중국,중국
신선깐마늘,2021-02-05,중국,중국
건다래순,2021-02-05,중국,중국
망고,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
"망고(열매,신선)",2021-02-05,태국,태국
베트남 로부스타 커피,2021-02-05,베트남,베트남
신선당근,2021-02-05,중국,중국
깐우엉,2021-02-05,중국,중국
신선우엉,2021-02-05,중국,중국
건취나물,2021-02-05,중국,중국
건피마자,2021-02-05,중국,중국
신선양상추,2021-02-05,중국,중국
포도,2021-02-05,페루,페루
신선우엉,2021-02-05,중국,중국
오렌지,2021-02-05,미국,미국
깐더덕,2021-02-05,중국,중국
양파,2021-02-05,중국,중국
신선양파,2021-02-05,중국,중국
깐도라지 (2KG),2021-02-05,중국,중국
양배추,2021-02-05,중국,중국
체리,2021-02-05,칠레,칠레
신선깐도라지,2021-02-05,중국,중국
망고,2021-02-05,페루,페루
프리제(FRISEE),2021-02-05,스페인,벨기에
엔다이브,2021-02-05,벨기에,벨기에
파스니프,2021-02-05,벨기에,벨기에
송로버섯,2021-02-05,이탈리아,이탈리아
신선부추,2021-02-05,중국,중국
망고,2021-02-05,베트남,베트남
마다가스카르 바닐라 빈,2021-02-05,마다가스카르,마다가스카르
건토란줄기,2021-02-05,미얀마,미얀마
쪽파,2021-02-05,라오스,라오스
파스닙,2021-02-05,벨기에,벨기에
망고,2021-02-05,페루,페루
핑거루트,2021-02-05,태국,태국
앤다이브,2021-02-05,벨기에,벨기에
방울다다기 양배추,2021-02-05,벨기에,벨기에
아스파라거스,2021-02-05,태국,태국
앤다이브(프리셰),2021-02-05,스페인,벨기에
레몬그라스,2021-02-05,태국,태국
갈랑갈,2021-02-05,태국,태국
냉동 홍피망,2021-02-05,중국,중국
호두,2021-02-05,미국,미국
호박씨,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
마늘쫑,2021-02-05,중국,중국
망고,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
신선깐도라지,2021-02-05,중국,중국
"회향(열매,신선)",2021-02-05,이탈리아,벨기에
"파스닙(뿌리,신선)",2021-02-05,벨기에,벨기에
리크,2021-02-05,벨기에,벨기에
앤다이브,2021-02-05,벨기에,벨기에
방울다다기 양배추,2021-02-05,벨기에,벨기에
셀러리악,2021-02-05,네덜란드,벨기에
후추,2021-02-05,인도,인도
캐슈,2021-02-05,베트남,베트남
